ticker,current_assets,total_assets,ebit,current_liabilities,total_liabilities,retained_earnings,total_sales,credit_rating,book_value_per_share,shares_issued,shares_outstanding,inventory,acct_receivable,total_equity,working_cap,mkt_value,cogs,net_income,interest_exp
MGA,7060,13154,862,4783,5997,4587,24180,8,65.1347,109.88,109.88,1437,3629,,2277,8850.834,21168,528,50
MTW,1142.7,2219.5,303.7,935.4,1445,635.4,2933.3,14,12.4674,79.588,62.122,492.4,285.2,774.5,207.3,3691.9105,2217,166.2,46.3
MRO,10096,30831,8414,8061,15706,10725,59917,10,42.0018,367.852,347.771,3173,4209,14607,2035,32168.8175,48435,5234,245
MAS,5115,12325,1456,3389,7746,4087,12778,10,11.6466,383.89,383.89,1263,1613,,1726,11466.7943,9019,488,240
MAT,2850.138,4955.884,748.118,1582.52,2522.91,1375.279,5650.156,12,6.3309,441.4,384.3,383.149,943.813,2432.974,1267.618,8708.238,2872.035,592.927,79.853
MKC,899.4,2568,353.7,780.5,1631.1,489,2716.4,8,7.1737,130.1,130.1,405.7,379.1,933.3,118.9,5037.208,1514.6,202.2,53.7
MRK,15230.2,44569.8,5963.3,12722.7,24604,37930.8,22636,6,8.1003,2976.223,2167.785,1769.4,3314.8,17559.7,2507.5,94515.426,3760.1,4433.8,375.1
MU,5101,12221,165.2,1661,2539,1484,5272.5,15,10.8273,749.4,749.4,963,956,8114,3440,12949.632,2681.9,407.8,35
MMM,8946,21294,5173,7323,11057,16060,22923,5,13.5614,944.033,734.363,2601,3357,9959,1623,57228.9086,10491,3851,122
MOG.A,728.101,1607.654,145.207,307.606,844.798,476.692,1306.494,13,18.0361,48.605,42.296,282.72,333.492,762.856,420.495,1467.4108,835.869,81.346,21.861
MUR,2107.091,7445.727,1126.239,1311.105,3369.711,3413.234,14247.725,11,21.606,187.692,187.572,411.077,995.089,4052.676,795.986,9538.0362,12328.373,638.279,52.549
NCR,3332,5227,482,1770,3326,1224,6142,12,10.5143,178.9,178.9,677,1408,,1562,7649.764,4217,382,24
NYT,1185.043,3855.928,348.918,1297.994,3030.119,963.842,3289.903,10,5.6989,148.86,143.86,36.696,402.639,819.842,-112.951,3504.1714,1343.685,-543.443,73.512
NWL,2476.9,6310.5,723,1896.6,4420.3,1505.8,6201,10,6.866,291,275.3,850.6,1113.6,,580.3,7969.935,3937.7,385,155
NOC,6719,32009,2566.5,6753,15394,4923,30148,10,48.0311,345.922,345.922,1178,3566,,-34,23418.9194,23957,1542,347
TEX,3432.8,4785.9,710.4,2027.2,3034.9,862.5,7647.6,14,17.3195,104.7,101.1,1502,953,1751,1405.6,6529.038,6143.3,399.9,93.9
NCX,1323,4155,305,1189,3609,24,6519,16,6.6133,82.561,82.561,669,507,,134,2303.4519,5663,-703,176
NVO,3688.982,7913.03,1604.844,1798.368,2579.72,5220.879,6898.139,8,16.8112,336.96,317.247,1487.278,1150.339,5333.31,1890.614,,1349.528,1142.372,63.386
NUE,4675.036,7884.989,2875.674,1450.028,2820.412,5813.175,14751.27,7,16.0359,372.516,300.949,1141.194,1067.322,4825.989,3225.008,16449.8723,10919.187,1757.681,40.351
ZZ,345.259,1002.732,207.084,288.184,1155.307,-838.351,1582.843,15,-1.9086,90.559,90.559,66.126,193.838,,57.075,1347.5179,845.96,73.967,71.961
OLN,919.2,1636.5,150.5,407.8,1093.2,-251.6,3151.8,12,7.412,73.3,73.3,263.3,338.6,543.3,511.4,1210.916,2747.8,149.7,20.3
OC,2552,8470,527,2560,4740,-48,6461,12,28.1804,130.8,130.8,749,573,3686,-8,3910.92,5073,8075,270
OI,2432.7,9320.7,730.2,2365.7,8757.2,-2198.6,7422,15,-0.6211,166.143,154.235,1039,1097.8,356.7,67,2845.6358,5587.7,-27.5,470.7
PPG,4592,10021,1367,2787,6639,6468,11081,8,19.7097,290.573,164.082,1390,2168,3234,1805,10535.7052,7036,711,90
PH,3138.978,8173.432,993.425,1681.105,3932.229,3721.593,9385.888,8,35.2508,120.684,120.315,1182.878,1592.323,4241.203,1457.873,9336.444,7078.331,673.167,75.763
PNR,957.628,3364.979,306.986,521.282,1694.98,1164.83,3154.469,11,16.7373,99.777,99.777,398.857,422.134,1669.999,436.346,3132.9978,2178.12,183.731,52.626
PEP,9130,29930,6506,6860,14562,22591,35137,7,9.4402,1782,1638,1926,3725,15368,2270,102456.9,14580,5642,239
PFE,46949,114837,14923,21389,43479,49200,48201,2,9.9968,8819,7124,6111,9906,71358,25560,184511.6,5216,19337,517
MO,26152,104270,17893,26047,61123,56071,70324,10,18.8925,2805.961,2097.081,12186,6070,39619,105,179971.4914,35681,12022,1331
PHG,19745.351,50804.491,1743.324,12048.861,20282.469,31266.332,35600.227,9,27.4183,1142.827,1106.893,3800.736,6298.929,30349.141,7696.49,,23175.251,7103.945,459.256
COP,25066,164781,24599,26431,80933,42581,167578,9,50.2077,1705.503,1646.082,5153,14106,82646,-1365,118435.5999,131427,15550,1651
PVH,785.003,1998.485,255.092,283.166,1056.328,356.355,2090.648,13,16.8697,55.85,55.849,284.894,92.317,942.157,501.837,3080.0724,1027.213,155.229,34.272
PBI,2918.67,8480.42,1160.063,2746.833,7397.066,4008.384,5730.018,7,3.1644,323.338,220.613,237.817,2148.143,699.189,171.837,10190.1145,2284.427,105.347,228.418
PCH,356.519,1457.607,77.904,196.264,879.748,25.759,1607.827,14,14.8841,38.824,38.824,168.816,135.105,577.859,160.255,1701.2677,1347.25,139.11,29.12
PG,24329,135695,13467,19985,72787,35148,68222,6,19.7386,3975.8,3178.8,6291,5725,62908,4344,176741.28,30850,8684,1119
RTN,9517,25491,1895,6715,14225,1815,20291,10,24.8974,465.701,445.87,2563,1705,11101,2802,23541.936,16192,1283,273
ROK,2188,4735.4,919.1,1293.3,2817.2,2780.9,5561.4,8,11.2307,216.4,170.8,599.5,879.3,1918.2,894.7,9923.48,3213.4,607,58.4
ROH,3411,9553,1104,1988,5400,1902,8234,9,18.42,242.078,218.838,984,1570,,1423,11186.9986,5349,735,105
STJ,1690.165,4789.794,777.91,676.207,1820.807,2833.421,3302.447,10,8.3886,353.932,353.932,452.812,882.098,2968.987,1013.958,12939.7539,754.303,548.251,33.883
SGP,10423,16071,105,4162,8163,9247,10547,9,4.351,2034,1487,1676,1804,,6261,35152.68,3154,1143,184
SEE,1756.7,5020.9,542.8,1406.1,3366.1,848.5,4327.9,11,20.5145,86.489,80.665,509.4,721.3,1654.8,350.6,5236.7718,2930.6,274.1,153.2
SHW,2450.281,4995.087,903.096,2074.815,3002.727,3223.1,7809.759,9,14.9168,222.985,133.565,825.179,864.972,1992.36,375.466,8492.0627,4249.202,576.058,67.162
SIAL,1112.9,2334.3,402.7,442.6,923.4,2606.3,1797.5,8,21.3773,100.9,66,596,248,1410.9,670.3,5129.52,786.4,276.8,31.4
SNA,1113.2,2654.5,224.7,682,1561.4,1201.5,2522.4,9,18.5023,67.082,58.171,323,559.2,1076.3,431.2,2771.2664,1323.5,100.1,20.6
SON,942.798,2916.678,346.088,659.824,1697.61,781.891,3656.839,10,12.124,100.55,100.55,303.848,492.309,1219.068,282.974,3826.933,2786.936,195.081,51.952
SMP,461.838,640.092,37.171,278.525,449.393,116.022,812.024,18,10.3776,20.486,18.376,233.97,183.664,190.699,183.313,275.2725,591.303,9.411,19.275
SWK,1638.5,3935.4,526.3,1251.1,2383.4,1801.8,4018.6,8,18.9636,92.343,81.841,598.9,749.6,,387.4,4115.7839,2416.9,289.5,69.3
SYK,3534.3,5873.8,1127,1351.5,1682.8,3581.1,5405.6,7,10.2746,407.9,407.9,677.6,907,4191,2182.8,22479.369,1725.2,777.7,9.5
SQA.A,1158.04,2031.604,132.181,443.484,1257.046,501.188,2183.816,15,65.6797,11.761,11.344,527.614,404.435,,714.556,1304.7809,1726.611,65.606,78.194
ATI,1987.9,3282.2,897.5,645.5,1789.6,845.5,4936.6,14,14.7489,101.201,101.201,798.7,610.9,1492.6,1342.4,9176.9067,3671,571.9,38.3
TEN,1415,3274,227,1119,3020,-2324,4682,15,4.9356,47.085,45.79,441,595,226,296,1131.9288,3813,49,136
TXN,7854,13930,3255,2078,2570,17166,14195,8,7.8343,1739.109,1450.031,1437,1774,11360,5776,41760.8928,5806,4341,12
TXT,,17550,1413,6317,14901,5567,11490,9,21.0368,208.984,125.596,2069,9181,2649,,11777.1369,8238,601,438
TMO,3659.536,21262.238,365.296,2152.321,7350.411,1923.568,3791.617,10,33.3933,424.24,416.605,1164.465,1392.743,,1507.215,18868.0405,1905.159,168.935,51.93
TNB,868.37,1830.223,245.813,248.529,761.864,767.933,1868.689,11,17.9638,59.473,59.473,218.536,204.27,,619.841,2811.8834,1251.457,175.13,29.94
TKR,1900.28,4031.533,352.895,835.569,2555.353,672.605,4973.365,12,15.6767,94.244,94.164,952.31,673.428,1476.18,1064.711,2747.7055,3752.453,222.527,52.668
TTC,657.093,921.983,207.69,345.539,529.954,351.673,1840.805,12,9.7143,54.033,40.356,238.544,294.833,392.029,311.554,1741.765,1150.592,129.145,18.432
TSN,4187,11121,-7,2846,6681,2798,25559,12,12.507,370,355,2057,1183,4440,1341,5634.1287,24147,-196,276
USG,2707,5365,951,1764,3831,-443,5810,13,17.07,94.908,89.865,348,1550,1534,943,4924.602,4302,288,27
UFI,280.958,732.637,-0.02,101.418,349.684,376.804,738.825,19,7.3351,52.208,52.208,116.018,93.236,,179.54,151.4032,647.386,-14.366,19.247
UL,12538.47,48923.918,7136.938,18322.715,33520.38,17635.151,52315.547,7,5.3301,3024.884,2889.908,5009.581,5032.016,15403.538,-5784.245,,25270.934,6261.977,797.099
DOW2,3485,8190,873,943,3767,4299,7528,12,4420000,0.001,0.001,199,3174,4420,2542,,6284,1046,64
SGMS,344.702,1759.61,150.65,194.023,1231.532,69.343,897.23,14,5.7633,92.768,91.628,59.464,178.445,528.078,150.679,2769.9144,507.547,66.761,43.393
SXT,551.702,1454.067,129.277,260.61,749.963,775.95,1098.774,13,15.1193,53.955,46.57,333.07,178.307,704.104,291.092,1145.622,723.462,66.425,35.748
VFC,2578.01,5465.693,826.144,1014.848,2195.128,1683.223,6215.794,9,29.1052,118.222,112.185,958.262,809.594,3265.172,1563.162,9208.1448,3407.247,533.516,57.259
VMI,494.658,892.31,109.39,216.922,482.74,409.193,1281.281,14,15.6542,27.9,25.634,194.278,213.66,401.281,277.736,1422.4307,919.114,61.544,17.124
VSH,1727.247,4691.896,271.22,534.414,1606.289,832.395,2581.477,14,16.7015,185.017,184.463,536.853,351.656,3080.813,1192.833,2497.629,1715.386,139.736,32.215
FTO,939.216,1523.925,537.894,459.698,748.071,720.058,4759.661,15,7.0312,134.509,110.344,374.576,138.862,,479.518,3171.2866,4128.066,379.277,15.939
MWV,2015,9285,381,1465,5752,161,6530,11,19.4007,182.107,182.107,715,1011,3533,550,5474.1364,4876,93,211
WHR,6476,13878,879,6002,10547,2562,18080,11,42.0897,102,78,2348,2676,3283,474,6475.56,14899,433,202
WWY,1481.227,4661.598,866.547,1027.129,2273.506,2885.039,4686.011,7,8.6242,290.551,276.907,592.985,463.231,,454.098,14332.2682,2011.002,529.377,61.82
XRX,8754,21709,1782.5,4698,14521,2555,15884.5,12,7.4825,954.568,946.205,1163,5121,7080,4056,16038.1748,8547,1210,544
OSK,1003.394,2110.908,334.328,882.074,1045.245,856.958,3427.388,14,14.3985,73.772,73.751,589.77,317.92,1061.905,121.32,3722.213,2790.275,205.529,7.354
AEPI,170.8,336.08,69.378,85.264,278.487,32.208,802.109,16,7.3032,10.768,7.886,70.54,76.66,57.593,85.536,415.4345,623.051,62.929,16.541
EMC,6520.587,18566.247,1405.732,3881.104,8240.54,7739.93,11155.09,10,4.8652,2122.339,2122.339,834.8,1692.214,10325.707,2639.483,28014.8748,4466.591,1223.982,34.123
BYI,329.354,687.881,-24.793,198.837,543.119,-80.024,547.144,18,2.752,52.88,52.354,69.995,135.763,,130.517,862.2704,268.732,-46.071,27.509
XRIT,105.475,462.259,12.65,63.065,276.649,82.088,179.803,16,6.4969,28.569,28.569,30.165,40.226,,42.41,351.3987,59.058,-25.491,9.558
GENZ,1989.501,7191.188,606.872,651.439,1530.477,566.864,3187.013,11,21.5215,263.026,263.026,374.644,746.746,,1338.062,16197.1411,613.637,-16.797,24.678
RDS.A,91885,235276,37678,76748,120331,108497,318845,5,33.3266,3227.57,3172.42,23215,32874,105726,15137,,251714,25442,1713
HOG,3550.633,5532.15,1662.281,1595.677,2775.413,5253.967,6185.577,7,10.6829,334.328,258.052,287.798,2244.415,2756.737,1954.956,18184.9244,3468.476,1043.153,59.761
WTS,952.382,1660.85,129.506,299.358,828.326,454.905,1230.777,11,21.4505,38.533,38.533,316.416,228.502,826.553,653.024,1584.0916,765.801,73.736,22.148
VHI,779.357,2804.726,112.507,253.262,1814.251,796.088,1481.363,16,7.544,118.88,114.896,309.029,230.946,866.779,526.095,2984.9981,1066.926,141.682,67.607
PPC,1105.674,2426.868,3.002,576.837,1307.582,646.884,5235.565,15,16.7878,66.556,66.556,585.94,302.316,1117.328,528.837,1820.3066,4807.465,-34.232,54.899
HAR,1249.357,2354.661,406.74,869.001,1123.781,1193.294,3247.897,15,18.5902,82.755,66.065,356.457,444.474,1228.164,380.356,5639.9691,1965.378,255.295,27.727
PLAB,318.887,1045.683,57.472,191.196,385.404,235.724,454.875,15,14.8073,41.485,41.485,19.209,84.299,614.282,127.691,580.3752,222.442,29.332,11.916
CNMD,249.883,861.571,58.621,75.205,421.217,238.813,646.812,15,15.737,31.304,27.982,151.687,75.867,440.354,174.678,646.9438,292.793,-12.507,19.12
XRAY,718.191,2181.35,322.601,311.434,907.293,1433.07,1810.496,10,8.3915,162.8,151.8,232.441,290.791,1273.835,406.757,4531.23,834.051,223.718,10.801
MEOH,990.254,2443.491,693.247,340.62,1234.24,724.166,2108.25,12,11.4295,105.801,105.801,244.766,366.387,,649.634,2895.7734,1308.175,482.949,44.586
GNA,1597.043,3176.388,551.029,525.691,1296.673,835.847,4464.203,13,6.0651,305.377,305.377,823.462,484.451,,1071.352,2723.9628,3610.812,378.646,46.825
APH,934.605,2195.397,445.339,447.659,1292.403,1061.452,2471.43,12,10.1309,89.736,89.133,416.499,383.858,902.994,486.946,5533.3766,1610.658,255.691,38.799
TEVA,7640,20471,2287,4071,9294,4049,8408,11,14.6992,793,758,1879,2922,11142,3569,,3634,546,179
MERC,292.709,1719.033,104.922,158.367,1430.281,30.359,823.462,17,8.1419,35.465,35.465,82.952,109.297,,134.342,420.9696,627.573,83.418,118.55
ELUXY,6451.523,9664.482,647.186,5312.107,7733.898,1279.447,15195.341,10,13.8426,154.46,139.467,1761.874,3354.89,,1139.416,,11253.109,562.904,115.888
SU,2302,18781,3395,2158,9829,8058,14842,9,19.4632,459.944,459.944,589,1083,8952,144,42218.2598,10752,2971,150
BEC,1338.1,3291.7,299,711.6,2137.4,1037.8,2528.5,11,18.923,68.3,61,455.8,671.5,,626.5,3647.8,1148.8,186.9,53.4
LYO,5146,17846,1738,3207,14484,-288,22228,15,12.8048,249.764,248.97,2259,2168,,1939,6366.1629,19053,186,631
PCZ,2826,22646,4366,3348,12205,8606,18911,11,20.9853,497.538,497.538,632,1600,,-522,23757.4395,13180,1740,216
VLO,10760,37753,8006,8822,19148,12216,91051,11,30.8151,627.501,603.763,4430,4421,18605,1938,30888.5151,80793,5463,378
TRS,311.6,1286.06,104.95,205.27,1053.28,-166.5,1020.53,16,11.2129,20.76,20.76,165.36,99.24,,106.33,,720.71,-128.91,79.06
IEX,417.908,1670.821,217.206,187.252,691.549,664.565,1154.94,11,18.237,53.779,53.697,160.687,166.485,979.272,230.656,2545.7748,647.577,146.671,16.353
CRH,8822.854,24209.897,2347.879,5052.339,14834.352,6090.679,24727.747,10,17.29,542.79,542.162,2687.437,3946.694,,3770.515,,16773.783,1597.101,497.263
PCL,513,4661,443,281,2572,204,1627,12,11.7956,186.6,177.1,86,47,2089,232,7057.435,943,317,133
CRUS,321.037,353.06,13.298,34.62,48.123,-621.963,182.304,17,3.4588,88.163,88.163,16.496,19.127,304.937,286.417,675.3286,66.908,27.895,0
LEA,3890.3,7850.5,458.7,3887.3,7248.5,-526.6,17838.9,17,7.8949,81.984,76.252,581.5,2006.9,602,3,2251.7216,16427.1,-707.5,209.8
SLR,4351.7,5373.6,114.3,2304.2,2959.9,-5172.5,10560.7,15,2.6647,905.8,905.8,1516.1,1429.3,,2047.5,2844.212,9839.6,133.2,28.5
DEO,8944.097,25752.416,3751.823,6166.749,17096.779,8659.335,13424.466,9,12.0778,762.75,689.25,4411.953,2943.767,8324.648,2777.348,,5005.514,3528.083,928.248
SMG,942,2217.6,325.9,496.2,1135.9,639.1,2703.9,14,16.616,66.6,65.1,409.2,380.4,,445.8,2896.299,1690.1,132.7,40.1
CRWFF,783.322,1830.621,139.393,500.798,1262.538,377.963,1940.639,15,9.7346,58.357,58.357,50.974,535.377,568.083,282.524,1152.5508,1403.706,51.753,51.687
FBRWY,2123.795,7748.944,836.424,1167.489,4422.178,642.015,3800.428,11,1.6479,2018.8,2018.8,948.734,713.35,,956.306,,1925.081,865.67,203.613
CSCO,25676,43315,7087,11313,19397,-345,28484,7,3.9465,6059,6059,1371,3611,23912,14363,108334.92,8837,5580,148
BEAV,725.7,1497.7,148.3,269.7,791.7,-222,1128.2,12,8.8805,79.5,79.5,420.9,172.9,706,456,2041.56,702.4,85.6,42.8
ORB,450.233,744.494,67.92,206.425,350.175,-173.157,802.761,14,6.693,58.915,58.915,30.053,165.755,,243.808,1086.3926,629.533,34.884,12.272
XLNX,1700.102,3179.355,352.476,303.369,1406.615,919.893,1842.739,12,5.991,295.902,295.902,174.572,219.754,1772.74,1396.733,7613.5585,662.645,350.672,
3525B,167.304,1423.501,138.668,89.243,1030.661,83.03,424.134,16,392840,0.001,0.001,71.436,59.014,,78.061,,212.274,54.386,59.59
BHE,1170.61,1406.12,130.224,409.718,421.098,392.47,2907.304,15,15.2125,64.862,64.751,420.347,462.953,985.022,760.892,1577.3344,2680.403,111.677,0.354
ETH,423.756,812.241,146.913,145.718,394.799,530.431,1066.39,9,12.9963,46.687,32.12,189.65,22.179,417.442,278.038,1173.986,503.809,85.682,9.493
NOK,24527.944,29847.655,7127.7,13409.472,13932.073,14737.09,54592.03,8,4.0133,4095.043,3965.73,2050.814,7770.394,15915.582,11118.472,,36242.921,5682.628,52.788
CEPH,1197.865,3045.497,308.281,1377.376,1736.037,-320.899,1750.796,16,19.9625,67.853,65.596,174.3,270.045,,-179.511,4618.6144,271.061,144.816,18.922
